epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3974,2.03027,3.42321,1.59455,0.00567,0.87179,0.07553,0.03716,1.61211,3.12741,1.28217,0.0829,0.0019,0.0019
2,21.7151,1.75595,3.31077,1.38879,0.00567,0.87179,0.15106,0.10059,1.45554,3.11555,1.26273,0.0648846,0.00388456,0.00388456
3,31.8784,1.58302,3.07141,1.36534,0.00633,0.97436,0.38971,0.24265,1.43903,3.15123,1.2915,0.0468533,0.00585327,0.00585327
4,41.9449,1.51728,2.80693,1.28788,0.00617,0.94872,0.44401,0.28226,1.45639,2.99138,1.28369,0.0288061,0.00780615,0.00780615
5,51.7618,1.61277,2.49504,1.38305,0.7964,0.28205,0.5079,0.30754,1.63102,2.75753,1.3771,0.0107432,0.00974318,0.00974318
6,61.5098,1.57283,2.4392,1.37635,0.54483,0.5641,0.49764,0.25307,1.77675,2.68789,1.52291,0.009802,0.009802,0.009802
7,71.0042,1.5742,2.07814,1.3482,0.67044,0.57397,0.6119,0.37091,1.4615,3.62931,1.36759,0.0097624,0.0097624,0.0097624
8,80.5125,1.66913,2.17744,1.35863,0.65861,0.53846,0.59319,0.3155,1.59729,3.14561,1.34012,0.0097228,0.0097228,0.0097228
9,90.0182,1.62033,1.98737,1.32103,0.81367,0.55997,0.6282,0.34223,1.57388,3.20671,1.39608,0.0096832,0.0096832,0.0096832
10,99.5365,1.63029,1.92489,1.28545,0.81965,0.58286,0.68358,0.36155,1.61746,2.2266,1.34205,0.0096436,0.0096436,0.0096436
11,109.051,1.578,1.91686,1.22502,0.78687,0.37891,0.52792,0.29122,1.49953,2.36793,1.29319,0.009604,0.009604,0.009604
12,118.555,1.55984,1.85228,1.23425,0.84493,0.559,0.62951,0.3253,1.80406,2.36482,1.56667,0.0095644,0.0095644,0.0095644
13,128.071,1.57767,1.94989,1.25484,0.81784,0.46054,0.55451,0.30829,1.59385,2.43564,1.38709,0.0095248,0.0095248,0.0095248
14,137.603,1.57444,1.88426,1.30038,0.64711,0.51733,0.55056,0.32086,1.63036,2.28358,1.41001,0.0094852,0.0094852,0.0094852
15,147.155,1.58072,1.96189,1.28842,0.66804,0.48718,0.55237,0.32036,1.50467,2.24078,1.37749,0.0094456,0.0094456,0.0094456
16,156.704,1.52814,1.8065,1.26981,0.62518,0.51322,0.64109,0.33627,1.62962,2.10143,1.36133,0.009406,0.009406,0.009406
17,166.287,1.59781,1.88486,1.27707,0.84255,0.53846,0.69972,0.39012,1.5621,2.08237,1.38927,0.0093664,0.0093664,0.0093664
18,175.932,1.54338,1.77495,1.2706,0.5784,0.5641,0.64469,0.33795,1.5867,2.09462,1.40807,0.0093268,0.0093268,0.0093268
19,185.477,1.45126,1.66097,1.27596,0.77389,0.5641,0.68004,0.37339,1.54296,2.1734,1.37102,0.0092872,0.0092872,0.0092872
20,194.984,1.54624,1.65073,1.28655,0.7798,0.63574,0.75608,0.3904,1.6212,1.96176,1.46193,0.0092476,0.0092476,0.0092476
21,204.501,1.50243,1.70156,1.28291,0.64542,0.51282,0.62502,0.32927,1.57744,2.14818,1.40912,0.009208,0.009208,0.009208
22,213.954,1.49596,1.78351,1.32299,0.54531,0.5641,0.57995,0.25949,1.66542,2.12947,1.4318,0.0091684,0.0091684,0.0091684
23,223.424,1.50788,1.78009,1.24047,0.42578,0.30769,0.34309,0.14622,1.51767,2.58145,1.33015,0.0091288,0.0091288,0.0091288
24,232.906,1.59465,1.68979,1.28951,0.76745,0.76171,0.78719,0.36803,1.60038,1.92144,1.35744,0.0090892,0.0090892,0.0090892
25,242.41,1.51467,1.65863,1.26372,0.68656,0.74359,0.74456,0.33194,1.77646,1.90869,1.44968,0.0090496,0.0090496,0.0090496
26,251.881,1.44195,1.53296,1.24316,0.65249,0.76923,0.78336,0.38944,1.59284,1.85937,1.38045,0.00901,0.00901,0.00901
27,261.365,1.55187,1.5589,1.2908,0.37091,0.61989,0.50466,0.23339,1.62969,2.13995,1.37169,0.0089704,0.0089704,0.0089704
28,270.842,1.52666,1.63409,1.24698,0.64809,0.64103,0.67133,0.3033,1.70514,1.81647,1.4014,0.0089308,0.0089308,0.0089308
29,280.256,1.43608,1.54264,1.2319,0.7234,0.58974,0.72208,0.33629,1.77355,1.75667,1.41567,0.0088912,0.0088912,0.0088912
30,289.718,1.4433,1.45361,1.22208,0.73931,0.65465,0.69729,0.34467,1.78796,1.66526,1.43153,0.0088516,0.0088516,0.0088516
31,299.133,1.46219,1.60125,1.24663,0.76402,0.83033,0.86665,0.45263,1.64742,1.51015,1.29944,0.008812,0.008812,0.008812
