epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6312,2.15683,5.03635,1.70913,0.61723,0.41026,0.50725,0.22474,1.85534,2.26029,1.37875,0.0829,0.0019,0.0019
2,42.2769,1.97953,2.46833,1.57951,0.71386,0.76923,0.74811,0.33433,1.59705,1.88091,1.34945,0.0648356,0.00383565,0.00383565
3,62.6961,1.68878,1.71604,1.49666,0.81804,0.76923,0.831,0.49467,1.50909,1.44295,1.29096,0.0467053,0.0057053,0.0057053
4,83.0733,1.64407,1.60583,1.41083,0.52386,0.5641,0.54614,0.30669,1.42396,1.79156,1.3967,0.028509,0.00750895,0.00750895
5,103.796,1.78011,1.58768,1.45679,0.87258,0.82051,0.89569,0.52862,1.5412,1.07109,1.19785,0.0102466,0.0092466,0.0092466
6,126.193,1.6927,1.95775,1.38344,0.93701,0.48718,0.58631,0.37798,1.53217,2.26603,1.16305,0.009175,0.009175,0.009175
7,148.638,1.50611,2.00113,1.18979,0.77735,0.7162,0.74393,0.44419,1.74209,1.48312,1.34465,0.00901,0.00901,0.00901
8,170.958,1.59705,1.71295,1.25187,0.9717,0.4359,0.72168,0.42421,1.84052,2.12098,1.47212,0.008845,0.008845,0.008845
9,193.42,1.61495,1.60891,1.2681,0.8707,0.71795,0.76496,0.42134,1.76177,1.95092,1.32969,0.00868,0.00868,0.00868
10,215.308,1.56295,1.74536,1.19012,0.90613,0.74254,0.76249,0.43625,1.62733,1.39108,1.26944,0.008515,0.008515,0.008515
11,236.806,1.46977,1.14422,1.16164,0.90076,0.64103,0.73532,0.42196,1.60991,1.13027,1.2362,0.00835,0.00835,0.00835
12,257.232,1.4748,1.14159,1.16627,0.95336,0.74359,0.80678,0.46234,1.62153,1.2064,1.22911,0.008185,0.008185,0.008185
13,277.794,1.53801,1.08429,1.19359,0.73494,0.58974,0.66093,0.36631,1.60711,1.29096,1.2229,0.00802,0.00802,0.00802
14,299.091,1.57231,1.21044,1.24451,0.74648,0.71795,0.74304,0.46342,1.50417,1.23992,1.22076,0.007855,0.007855,0.007855
15,320.197,1.49073,1.13518,1.15262,0.94414,0.69231,0.78487,0.4681,1.53356,1.15621,1.21317,0.00769,0.00769,0.00769
